10.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,10.0,1.0,1.0,2.0,2.0,5.0,416.0,4.0,26.0,2.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
22.0,4.0,1.0,1.0,0.0,3.0,1.0,2.0,16.0,5.0,27.0,9.0,5.0,3.0,6.0,5.0,416.0,9.0,30.0,5.0,5.0,9.0,8.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,2
35.0,8.0,2.0,1.0,2.0,4.0,3.0,4.0,19.0,9.0,42.0,15.0,10.0,7.0,15.0,9.0,518.0,24.0,51.0,13.0,8.0,27.0,15.0,3.0,5.0,0.0,5.0,2.0,0.0,2.0,2
39.0,10.0,8.0,6.0,7.0,16.0,4.0,9.0,32.0,17.0,61.0,39.0,18.0,18.0,27.0,32.0,698.0,43.0,76.0,23.0,19.0,57.0,28.0,4.0,11.0,0.0,15.0,4.0,1.0,3.0,3
66.0,14.0,13.0,9.0,7.0,21.0,4.0,15.0,39.0,32.0,103.0,60.0,35.0,36.0,46.0,83.0,1016.0,69.0,109.0,36.0,22.0,75.0,44.0,5.0,16.0,0.0,22.0,7.0,1.0,4.0,4
78.0,22.0,18.0,13.0,11.0,27.0,6.0,21.0,50.0,46.0,127.0,70.0,59.0,47.0,74.0,128.0,1376.0,100.0,148.0,46.0,33.0,110.0,69.0,7.0,26.0,0.0,35.0,14.0,6.0,7.0,5
87.0,24.0,33.0,20.0,15.0,34.0,8.0,30.0,62.0,69.0,170.0,106.0,80.0,69.0,95.0,168.0,2662.0,143.0,203.0,49.0,40.0,132.0,90.0,9.0,44.0,0.0,46.0,19.0,6.0,11.0,10
107.0,27.0,48.0,26.0,16.0,38.0,9.0,38.0,91.0,98.0,293.0,150.0,84.0,106.0,129.0,205.0,3467.0,221.0,272.0,56.0,43.0,146.0,107.0,8.0,55.0,0.0,56.0,24.0,6.0,12.0,13
110.0,31.0,65.0,34.0,18.0,40.0,13.0,44.0,107.0,128.0,424.0,198.0,101.0,157.0,157.0,276.0,4813.0,275.0,344.0,76.0,45.0,181.0,141.0,11.0,70.0,1.0,63.0,26.0,8.0,17.0,14
134.0,32.0,82.0,38.0,19.0,47.0,13.0,59.0,126.0,163.0,524.0,234.0,120.0,233.0,182.0,349.0,5665.0,330.0,425.0,85.0,51.0,210.0,176.0,27.0,82.0,1.0,87.0,29.0,8.0,21.0,17
159.0,41.0,96.0,46.0,22.0,63.0,16.0,78.0,159.0,196.0,578.0,292.0,144.0,277.0,203.0,419.0,6985.0,381.0,521.0,98.0,61.0,244.0,204.0,27.0,91.0,1.0,101.0,40.0,9.0,26.0,18
182.0,47.0,101.0,54.0,26.0,69.0,22.0,93.0,172.0,229.0,629.0,333.0,159.0,321.0,224.0,483.0,8807.0,447.0,617.0,109.0,60.0,268.0,220.0,36.0,102.0,1.0,116.0,37.0,11.0,28.0,21
